statut,famille,id,sku,titre_actuel,prix,stock,instrument,marque,tension,taille,ame,filage,attache,signature_technique,titre_propose,phrase_description_proposee,raison
prix_a_controler,alto|thomastik|dominant,5704,CDM-2065B3,"Thomastik Dominant – Medium",126.55,0.000000,Alto,Thomastik,Moyenne,,,,,"tension Moyenne","Thomastik Dominant – Medium","Aucune différence technique suffisante n’est lisible dans les attributs actuels pour expliquer cet écart de prix.","Prix différent sans attribut distinctif exploitable : contrôler le tarif, les variantes ou les attributs manquants."
prix_a_controler,alto|thomastik|dominant,5706,CDM-F36AD4,"Thomastik Dominant – Medium",126.55,8.000000,Alto,Thomastik,Moyenne,,,,,"tension Moyenne","Thomastik Dominant – Medium","Aucune différence technique suffisante n’est lisible dans les attributs actuels pour expliquer cet écart de prix.","Prix différent sans attribut distinctif exploitable : contrôler le tarif, les variantes ou les attributs manquants."
prix_a_controler,alto|thomastik|dominant,5707,CDM-EF1B81,"Thomastik Dominant – Medium",126.55,4.000000,Alto,Thomastik,Moyenne,,,,,"tension Moyenne","Thomastik Dominant – Medium","Aucune différence technique suffisante n’est lisible dans les attributs actuels pour expliquer cet écart de prix.","Prix différent sans attribut distinctif exploitable : contrôler le tarif, les variantes ou les attributs manquants."
prix_a_controler,alto|thomastik|dominant,5708,CDM-9CEBFF,"Thomastik Dominant – Medium",126.55,4.000000,Alto,Thomastik,Moyenne,,,,,"tension Moyenne","Thomastik Dominant – Medium","Aucune différence technique suffisante n’est lisible dans les attributs actuels pour expliquer cet écart de prix.","Prix différent sans attribut distinctif exploitable : contrôler le tarif, les variantes ou les attributs manquants."
ok,"contrebasse|daddario|d addario helicore hybrid",5749,CDM-538426,"D'Addario Helicore Hybrid – Medium – 3/4",231.64,0.000000,Contrebasse,D'Addario,Moyenne,3/4,,,,"tension Moyenne, taille 3/4","D'Addario Helicore Hybrid – Medium – 3/4","Version par défaut du jeu D'Addario Helicore Hybrid – Medium – 3/4. Composition technique : tension Moyenne, taille 3/4.","Titre et description déjà suffisamment distinctifs selon les attributs disponibles."
a_rediger,"contrebasse|daddario|d addario helicore hybrid",5747,CDM-92AFE0,"D'Addario Helicore Hybrid – Light – 3/4",231.65,4.000000,Contrebasse,D'Addario,Faible,3/4,,,,"tension Faible, taille 3/4","D'Addario Helicore Hybrid – Light – 3/4","Cette variante du jeu D'Addario Helicore Hybrid – Light – 3/4 présente la configuration suivante : tension Faible, taille 3/4. Elle se distingue de la version par défaut par : tension Faible, taille 3/4.","Variante de prix : rendre la différence visible dans le titre si absente, et l’expliquer dans la description."
ok,"contrebasse|pirastro|evah pirazzi slap orchestra synthetique",5765,CDM-4EE938,"Pirastro Evah Pirazzi Slap Orchestra synthétique – Medium – 3/4",333.68,0.000000,Contrebasse,Pirastro,Moyenne,3/4,,,,"tension Moyenne, taille 3/4","Pirastro Evah Pirazzi Slap Orchestra synthétique – Medium – 3/4","Version par défaut du jeu Pirastro Evah Pirazzi Slap Orchestra synthétique – Medium – 3/4. Composition technique : tension Moyenne, taille 3/4.","Titre et description déjà suffisamment distinctifs selon les attributs disponibles."
a_rediger,"contrebasse|pirastro|evah pirazzi slap orchestra synthetique",5767,CDM-CEF8E9,"Pirastro Evah Pirazzi Slap Orchestra synthétique – Medium – 3/4",480.18,0.000000,Contrebasse,Pirastro,Moyenne,3/4,boyau,,,"âme boyau, tension Moyenne, taille 3/4","Pirastro Evah Pirazzi Slap Orchestra synthétique – Medium – 3/4 - boyau","Cette variante du jeu Pirastro Evah Pirazzi Slap Orchestra synthétique – Medium – 3/4 présente la configuration suivante : âme boyau, tension Moyenne, taille 3/4. Elle se distingue de la version par défaut par : âme boyau, tension Moyenne, taille 3/4.","Variante de prix : rendre la différence visible dans le titre si absente, et l’expliquer dans la description."
ok,"contrebasse|pirastro|perpetual orchestra",5801,CDM-91E8C0,"Pirastro Perpetual Orchestra – Medium – 3/4",300.96,0.000000,Contrebasse,Pirastro,Moyenne,3/4,,,,"tension Moyenne, taille 3/4","Pirastro Perpetual Orchestra – Medium – 3/4","Version par défaut du jeu Pirastro Perpetual Orchestra – Medium – 3/4. Composition technique : tension Moyenne, taille 3/4.","Titre et description déjà suffisamment distinctifs selon les attributs disponibles."
a_rediger,"contrebasse|pirastro|perpetual orchestra",5803,CDM-80D7BE,"Pirastro Perpetual Orchestra Heavy – 3/4",471.19,1.000000,Contrebasse,Pirastro,Forte,"4/4 / 3/4",,,,"tension Forte, taille 4/4 / 3/4","Pirastro Perpetual Orchestra Heavy – 3/4","Cette variante du jeu Pirastro Perpetual Orchestra Heavy – 3/4 présente la configuration suivante : tension Forte, taille 4/4 / 3/4. Elle se distingue de la version par défaut par : tension Forte, taille 4/4 / 3/4.","Variante de prix : rendre la différence visible dans le titre si absente, et l’expliquer dans la description."
ok,"violon|pirastro|evah pirazzi",5850,CDM-FC2F12,"Pirastro Evah Pirazzi – Boucle – Medium – 4/4",117.91,2.000000,Violon,Pirastro,Moyenne,4/4,,,Boucle,"attache Boucle, tension Moyenne, taille 4/4","Pirastro Evah Pirazzi – Boucle – Medium – 4/4","Version par défaut du jeu Pirastro Evah Pirazzi – Boucle – Medium – 4/4. Composition technique : attache Boucle, tension Moyenne, taille 4/4.","Titre et description déjà suffisamment distinctifs selon les attributs disponibles."
a_rediger,"violon|pirastro|evah pirazzi",5862,CDM-3E24FA,"Pirastro Evah Pirazzi or – Boule – Medium – 4/4",125.72,22.000000,Violon,Pirastro,Moyenne,4/4,,or,Boule,"filage or, attache Boule, tension Moyenne, taille 4/4","Pirastro Evah Pirazzi or – Boule – Medium – 4/4","Cette variante du jeu Pirastro Evah Pirazzi or – Boule – Medium – 4/4 présente la configuration suivante : filage or, attache Boule, tension Moyenne, taille 4/4. Elle se distingue de la version par défaut par : filage or, attache Boule, tension Moyenne, taille 4/4.","Variante de prix : rendre la différence visible dans le titre si absente, et l’expliquer dans la description."
a_rediger,"violon|pirastro|evah pirazzi",5852,CDM-D78EDA,"Pirastro Evah Pirazzi – Boule – Medium – 4/4",171.41,1.000000,Violon,Pirastro,Moyenne,4/4,,,Boule,"attache Boule, tension Moyenne, taille 4/4","Pirastro Evah Pirazzi – Boule – Medium – 4/4","Cette variante du jeu Pirastro Evah Pirazzi – Boule – Medium – 4/4 présente la configuration suivante : attache Boule, tension Moyenne, taille 4/4. Elle se distingue de la version par défaut par : attache Boule, tension Moyenne, taille 4/4.","Variante de prix : rendre la différence visible dans le titre si absente, et l’expliquer dans la description."
ok,"violon|pirastro|evah pirazzi gold",5854,CDM-D41C96,"Pirastro Evah Pirazzi Gold – Boucle – Medium – 4/4",132.5,6.000000,Violon,Pirastro,Moyenne,4/4,,argent,Boucle,"filage argent, attache Boucle, tension Moyenne, taille 4/4","Pirastro Evah Pirazzi Gold – Boucle – Medium – 4/4","Version par défaut du jeu Pirastro Evah Pirazzi Gold – Boucle – Medium – 4/4. Composition technique : filage argent, attache Boucle, tension Moyenne, taille 4/4.","Titre et description déjà suffisamment distinctifs selon les attributs disponibles."
a_rediger,"violon|pirastro|evah pirazzi gold",5856,CDM-2103A1,"Pirastro Evah Pirazzi Gold – Boule – Medium – 4/4",132.5,67.000000,Violon,Pirastro,Moyenne,4/4,,argent,Boule,"filage argent, attache Boule, tension Moyenne, taille 4/4","Pirastro Evah Pirazzi Gold – Boule – Medium – 4/4 - argent","Cette variante du jeu Pirastro Evah Pirazzi Gold – Boule – Medium – 4/4 présente la configuration suivante : filage argent, attache Boule, tension Moyenne, taille 4/4. Elle se distingue de la version par défaut par : filage argent, attache Boule, tension Moyenne, taille 4/4.","Variante de prix : rendre la différence visible dans le titre si absente, et l’expliquer dans la description."
a_rediger,"violon|pirastro|evah pirazzi gold",5858,CDM-208824,"Pirastro Evah Pirazzi Gold or – Boucle – Medium – 4/4",197.79,2.000000,Violon,Pirastro,Moyenne,4/4,,or,Boucle,"filage or, attache Boucle, tension Moyenne, taille 4/4","Pirastro Evah Pirazzi Gold or – Boucle – Medium – 4/4","Cette variante du jeu Pirastro Evah Pirazzi Gold or – Boucle – Medium – 4/4 présente la configuration suivante : filage or, attache Boucle, tension Moyenne, taille 4/4. Elle se distingue de la version par défaut par : filage or, attache Boucle, tension Moyenne, taille 4/4.","Variante de prix : rendre la différence visible dans le titre si absente, et l’expliquer dans la description."
a_rediger,"violon|pirastro|evah pirazzi gold",5860,CDM-8FCD77,"Pirastro Evah Pirazzi Gold or – Boule – Medium – 4/4",197.79,6.000000,Violon,Pirastro,Moyenne,4/4,,or,Boule,"filage or, attache Boule, tension Moyenne, taille 4/4","Pirastro Evah Pirazzi Gold or – Boule – Medium – 4/4","Cette variante du jeu Pirastro Evah Pirazzi Gold or – Boule – Medium – 4/4 présente la configuration suivante : filage or, attache Boule, tension Moyenne, taille 4/4. Elle se distingue de la version par défaut par : filage or, attache Boule, tension Moyenne, taille 4/4.","Variante de prix : rendre la différence visible dans le titre si absente, et l’expliquer dans la description."
ok,"violoncelle|pirastro|evah pirazzi",5904,CDM-5F2C0D,"Pirastro Evah Pirazzi – Medium – 3/4",192.34,0.000000,Violoncelle,Pirastro,Moyenne,3/4,,,,"tension Moyenne, taille 3/4","Pirastro Evah Pirazzi – Medium – 3/4","Version par défaut du jeu Pirastro Evah Pirazzi – Medium – 3/4. Composition technique : tension Moyenne, taille 3/4.","Titre et description déjà suffisamment distinctifs selon les attributs disponibles."
a_rediger,"violoncelle|pirastro|evah pirazzi",5906,CDM-6177C9,"Pirastro Evah Pirazzi – Light – 4/4",350.19,2.000000,Violoncelle,Pirastro,Faible,4/4,,,,"tension Faible, taille 4/4","Pirastro Evah Pirazzi – Light – 4/4","Cette variante du jeu Pirastro Evah Pirazzi – Light – 4/4 présente la configuration suivante : tension Faible, taille 4/4. Elle se distingue de la version par défaut par : tension Faible, taille 4/4.","Variante de prix : rendre la différence visible dans le titre si absente, et l’expliquer dans la description."
prix_a_controler,"violoncelle|pirastro|evah pirazzi",5910,CDM-B4CD0E,"Pirastro Evah Pirazzi Heavy – 4/4",350.19,0.000000,Violoncelle,Pirastro,,4/4,,,,"taille 4/4","Pirastro Evah Pirazzi Heavy – 4/4","Aucune différence technique suffisante n’est lisible dans les attributs actuels pour expliquer cet écart de prix.","Prix différent sans attribut distinctif exploitable : contrôler le tarif, les variantes ou les attributs manquants."
a_rediger,violon|larsen|aurora,5938,CDM-88C841,"Larsen Aurora – Medium",46.91,,Violon,Larsen,Moyenne,"4/4 / 1/2 / 3/4 / 1/4 / 1/8 / 1/16",,,,"tension Moyenne, taille 4/4 / 1/2 / 3/4 / 1/4 / 1/8 / 1/16","Larsen Aurora – Medium","Version par défaut du jeu Larsen Aurora – Medium. Composition technique : tension Moyenne, taille 4/4 / 1/2 / 3/4 / 1/4 / 1/8 / 1/16.","Prix/famille avec variantes : garder le titre sobre, mais expliciter la composition dans la description."
a_rediger,violon|larsen|aurora,6072,CDM-5024CF,"Larsen Aurora argent – Medium",48.03,2.000000,Violon,Larsen,Moyenne,,,argent,,"filage argent, tension Moyenne","Larsen Aurora argent – Medium","Cette variante du jeu Larsen Aurora argent – Medium présente la configuration suivante : filage argent, tension Moyenne. Elle se distingue de la version par défaut par : filage argent, tension Moyenne.","Variante de prix : rendre la différence visible dans le titre si absente, et l’expliquer dans la description."
ok,violon|pirastro|perpetual,5968,CDM-FE6DC7,"Pirastro Perpetual aluminium – boule – Medium – 4/4",145.91,15.000000,Violon,Pirastro,Moyenne,4/4,,aluminium,Boule,"filage aluminium, attache Boule, tension Moyenne, taille 4/4","Pirastro Perpetual aluminium – boule – Medium – 4/4","Version par défaut du jeu Pirastro Perpetual aluminium – boule – Medium – 4/4. Composition technique : filage aluminium, attache Boule, tension Moyenne, taille 4/4.","Titre et description déjà suffisamment distinctifs selon les attributs disponibles."
a_rediger,violon|pirastro|perpetual,5966,CDM-F76555,"Pirastro Perpetual acier chrome – boule – Medium – 4/4",153.72,3.000000,Violon,Pirastro,Moyenne,4/4,acier,chrome,Boule,"âme acier, filage chrome, attache Boule, tension Moyenne, taille 4/4","Pirastro Perpetual acier chrome – boule – Medium – 4/4","Cette variante du jeu Pirastro Perpetual acier chrome – boule – Medium – 4/4 présente la configuration suivante : âme acier, filage chrome, attache Boule, tension Moyenne, taille 4/4. Elle se distingue de la version par défaut par : âme acier, filage chrome, attache Boule, tension Moyenne, taille 4/4.","Variante de prix : rendre la différence visible dans le titre si absente, et l’expliquer dans la description."
ok,"violon|thomastik|vision solo",6049,CDM-E5C0B9,"Thomastik Vision aluminium – Solo – 4/4",83.06,15.000000,Violon,Thomastik,Moyenne,4/4,,aluminium,,"filage aluminium, tension Moyenne, taille 4/4","Thomastik Vision aluminium – Solo – 4/4","Version par défaut du jeu Thomastik Vision aluminium – Solo – 4/4. Composition technique : filage aluminium, tension Moyenne, taille 4/4.","Titre et description déjà suffisamment distinctifs selon les attributs disponibles."
a_rediger,"violon|thomastik|vision solo",6051,CDM-72F66C,"Thomastik Vision argent – Solo – 4/4",85.79,3.000000,Violon,Thomastik,Moyenne,4/4,,argent,,"filage argent, tension Moyenne, taille 4/4","Thomastik Vision argent – Solo – 4/4","Cette variante du jeu Thomastik Vision argent – Solo – 4/4 présente la configuration suivante : filage argent, tension Moyenne, taille 4/4. Elle se distingue de la version par défaut par : filage argent, tension Moyenne, taille 4/4.","Variante de prix : rendre la différence visible dans le titre si absente, et l’expliquer dans la description."
